State,Agency Type,Agency Name,Population,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society
State,Agency Type,Agency Name,Population,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With An Object,Fondling,"Sex Offenses, Nonforcible",Incest,Statutory Rape,Arson,Bribery,Burglary Breaking & Entering,Counter- feiting Forgery,Destruction Damage Vandalism,Embezzle- ment,Extortion Blackmail,Fraud Offenses,False Pretenses Swindle Confidence Game,Credit Card Automated Teller Machine Fraud,Imperson- ation,Welfare Fraud,Wire Fraud,Larceny- Theft Offenses,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug Narcotic Offenses,Drug Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting Wagering,Operating Promoting Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Porno- graphy Obscene Material,Prost- itution Offenses,Prost- itution,Assisting or Pro- moting Prost- itution,Weapon Law Violations
ARKANSAS,Cities,Booneville,3993,71,10,46,15,,,,,3,3,2,,,1,,,,,,30,11,31,,,7,1,5,1,,,90,,,13,12,,5,1,59,3,1,6,36,22,14,,,,,,,,,,4
ARKANSAS,Cities,Bradford,774,29,2,14,13,,,,,,,,,,,,,,,,3,2,8,,,6,,3,3,,,16,,,1,,1,,1,13,1,,,6,2,4,,,,,,,,,,1
ARKANSAS,Cities,Brinkley,3171,32,18,14,,,,,,,2,2,,,,,,,2,,44,,23,,,,,,,,,76,,,2,,,,4,70,3,5,1,,,,,,,,,,,,,
ARKANSAS,Cities,Bryant,17129,170,,106,64,,,,,3,6,5,,,1,,,,,,179,61,134,,,107,42,65,,,,755,,,278,,,13,,464,34,11,23,115,81,34,,,,,,,,,,8
ARKANSAS,Cities,Bull Shoals,1947,16,4,11,1,,,,,,1,,,,1,,,,,,5,5,6,,,,,,,,,31,,1,10,5,,1,,14,,,1,17,9,8,,,,,,,,,,1
ARKANSAS,Cities,Cabot,24212,420,50,220,150,,,,,1,18,5,,,13,,,,1,,483,63,269,,,84,4,56,24,,,825,7,4,125,144,,256,13,276,48,6,44,136,83,53,,,,,,3,,,,13
ARKANSAS,Cities,Caddo Valley,632,19,5,11,3,,,,,,,,,,,,,,,,15,1,7,,,1,,1,,,,40,,,2,5,,1,,32,,1,2,26,24,2,,,,,,,,,,4
ARKANSAS,Cities,Camden,12118,334,60,171,103,1,1,,,,5,,1,2,2,1,,1,1,,178,68,160,,,14,7,7,,,,405,9,,84,17,,59,14,222,7,9,1,29,27,2,,,,,,,,,,6
ARKANSAS,Cities,Cammack Village,779,21,,11,10,,,,,,1,,,,1,,,,,,24,2,4,,,1,,,1,,,26,,,,5,,15,1,5,,,1,3,2,1,,,,,,,,,,1
ARKANSAS,Cities,Carlisle,2254,22,3,16,3,,,,,,1,1,,,,,,,,,24,7,5,,,2,1,1,,,,46,,,1,7,1,8,,29,1,2,9,6,4,2,,,,,,,,,,2
ARKANSAS,Cities,Cave City,1923,16,4,8,4,,,,,,,,,,,,,,,,9,5,4,,,5,,4,1,,,29,,,,12,,5,,12,,,1,2,2,,,,,,,,,,,
ARKANSAS,Cities,Cave Springs,1785,4,1,3,,,,,,,2,,,,2,,,,,,13,1,4,,,,,,,,,15,,,1,4,,,,10,,,,,,,,,,,,,,,,
ARKANSAS,Cities,Charleston,2492,24,2,14,8,,,,,,1,1,,,,,,,,,9,1,6,,,5,,5,,,,22,,,,2,,,,20,,1,,2,2,,,,,,,,,,,1
ARKANSAS,Cities,Cherokee Village,4735,30,3,27,,,,,,,1,1,,,,1,,1,1,,46,,51,,,15,11,3,1,,,99,,,1,,,1,,97,4,,3,26,16,10,,,,,,1,,,,1
ARKANSAS,Cities,Clarendon,1655,22,1,20,1,1,1,,,,,,,,,,,,,,7,,15,,,,,,,,,25,,,3,1,,3,,18,3,1,1,4,3,1,,,,,,,,,,
ARKANSAS,Cities,Clarksville,9286,215,13,151,51,,,,,,5,3,1,,1,,,,,,122,46,104,,,70,1,54,15,,,464,2,4,60,126,4,70,6,192,3,,13,49,38,11,,,,,,2,,,,6
ARKANSAS,Cities,Clinton,2580,9,,3,6,,,,,,,,,,,,,,,,16,6,2,,,9,,9,,,,41,,,3,16,,8,1,13,3,,,2,2,,,,,,,,,,,
ARKANSAS,Cities,Conway,60700,1704,148,764,792,1,1,,,12,36,32,,1,3,2,,2,9,,417,160,793,,,310,124,181,5,,,2097,,,498,10,4,412,77,1096,105,79,52,733,569,164,,,,,,5,1,1,,50
ARKANSAS,Cities,Corning,3348,26,2,16,8,,,,,,,,,,,,,,,,22,3,16,,,3,,1,2,,,29,,,7,7,,1,,14,2,1,1,41,33,8,,,,,,,,,,2
ARKANSAS,Cities,Crossett,5487,79,13,61,5,1,1,,,,2,1,1,,,,,,4,,117,9,112,,,29,14,14,1,,,256,,,48,,,1,,207,5,6,2,28,27,1,,,,,,,,,,9
ARKANSAS,Cities,Danville,2405,19,1,14,4,1,,1,,,,,,,,,,,,,6,3,3,,,1,1,,,,,14,,,2,1,,4,,7,1,,1,12,12,,,,,,,,,,,1
ARKANSAS,Cities,Dardanelle,4738,112,19,64,29,,,,,,7,3,,,4,,,,,,98,18,38,,,19,9,8,2,,,102,,1,1,6,,9,,85,3,6,5,9,9,,,,,,,1,,,,3
