State,Agency Type,Agency Name,Population,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Persons,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Property,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society,Crimes Against Society
State,Agency Type,Agency Name,Population,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With An Object,Fondling,"Sex Offenses, Nonforcible",Incest,Statutory Rape,Arson,Bribery,Burglary Breaking & Entering,Counter- feiting Forgery,Destruction Damage Vandalism,Embezzle- ment,Extortion Blackmail,Fraud Offenses,False Pretenses Swindle Confidence Game,Credit Card Automated Teller Machine Fraud,Imperson- ation,Welfare Fraud,Wire Fraud,Larceny- Theft Offenses,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug Narcotic Offenses,Drug Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting Wagering,Operating Promoting Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Porno- graphy Obscene Material,Prost- itution Offenses,Prost- itution,Assisting or Pro- moting Prost- itution,Weapon Law Violations
IOWA,Cities,Waukee,14540,45,9,34,2,,,,,1,3,,,,3,,,,1,,33,2,67,,,13,3,4,5,,1,111,1,,1,13,1,16,3,76,4,,2,55,31,24,,,,,,,,,,2
IOWA,Cities,Waverly,9914,62,31,23,8,,,,,2,6,2,,,4,,,,,,32,3,60,,,9,,2,6,,1,104,,1,23,19,1,15,,45,4,,3,58,35,23,,,,,,2,,,,2
IOWA,Cities,Webster City,8031,94,28,58,8,,,,,,1,,,1,,1,,1,1,,39,6,114,,,10,1,3,4,,2,143,,,19,33,,14,2,75,17,3,3,46,20,26,,,,,,2,2,2,,7
IOWA,Cities,West Branch,2319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
IOWA,Cities,West Burlington,2967,26,7,18,1,1,1,,,,2,1,,,1,,,,,,27,10,58,,,7,1,4,2,,,235,1,2,171,15,,9,3,34,4,2,1,28,17,11,,,,,,,,,,
IOWA,Cities,West Des Moines,58134,200,71,127,2,,,,,,38,16,2,1,19,2,1,1,6,,213,44,365,28,,41,12,22,5,,2,1570,2,3,590,183,5,195,53,539,52,8,1,280,183,97,,,,,,4,8,8,,4
IOWA,Cities,West Union,2507,5,3,2,,,,,,1,,,,,,,,,1,,14,1,9,,,3,,2,,,1,18,,,5,2,1,7,1,2,1,,3,11,9,2,,,,,,,,,,
IOWA,Cities,Wilton,2818,16,5,7,4,,,,,,1,1,,,,,,,,,14,,32,,,11,,7,3,,1,31,,,,13,1,6,1,10,2,,,2,1,1,,,,,,,,,,
IOWA,Cities,Windsor Heights,4957,54,6,45,3,,,,,,5,4,1,,,,,,,,24,17,48,,,15,7,1,7,,,240,2,4,164,12,1,19,1,37,2,2,3,212,142,70,,,,,,,,,,11
IOWA,Cities,Winterset,5242,6,5,,1,,,,,,8,1,,,7,2,1,1,,,454,5,42,,,7,1,6,,,,108,1,1,3,14,,40,,49,5,,,38,18,20,,,,,,1,,,,1
IOWA,Universities and Colleges,Iowa State University,29611,33,1,30,2,,,,,,8,7,,,1,,,,4,,33,3,109,,1,14,4,7,1,,2,225,,,6,82,,19,13,105,,,1,198,111,87,,,,,,,,,,2
IOWA,Universities and Colleges,University of Iowa,29810,51,3,42,6,,,,,3,7,4,2,,1,,,,1,,25,1,87,,2,10,4,3,3,,,166,,,4,100,,6,5,51,1,3,6,274,159,115,,,,,,,,,,5
IOWA,Universities and Colleges,University of Northern Iowa,13168,13,1,4,8,,,,,,1,1,,,,,,,,,11,3,7,,,3,2,,1,,,91,,,,39,,6,4,42,1,,1,29,15,14,,,,,,1,,,,
IOWA,Metropolitan Counties,Benton,,46,4,35,7,,,,,,1,1,,,,1,,1,2,,98,1,28,,,4,,3,,,1,57,,,,31,1,13,8,4,5,,1,27,21,6,,,,,,,,,,
IOWA,Metropolitan Counties,Black Hawk,,57,19,38,,,,,,,11,10,,,1,,,,,,68,5,57,,,25,13,8,3,,1,121,,,26,5,,10,,80,14,,2,110,71,39,,,,,,,,,,2
IOWA,Metropolitan Counties,Bremer,,18,11,7,,2,2,,,,1,1,,,,,,,,,17,,10,,,4,2,2,,,,34,,,,14,1,1,1,17,,1,,9,6,3,,,,,,,,,,2
IOWA,Metropolitan Counties,Dallas,,45,23,,22,,,,,1,5,,2,1,2,,,,,,17,,61,,,11,6,2,3,,,81,,,1,19,,14,1,46,11,1,1,78,37,41,,,,,,,,,,5
IOWA,Metropolitan Counties,Dubuque,,154,14,126,14,,,,,,6,3,1,,2,,,,2,,85,6,99,,,7,,,7,,,108,,,2,19,,21,8,58,29,1,2,156,87,69,,,,,,,,,,4
IOWA,Metropolitan Counties,Grundy,,18,7,11,,,,,,,2,,,,2,3,,3,1,,12,5,23,,,1,,,,,1,50,,,,5,,2,,43,2,,,12,9,3,,,,,,,,,,4
IOWA,Metropolitan Counties,Johnson,,100,54,36,10,,,,,1,21,3,13,,5,4,,4,4,1,67,6,90,1,,41,6,14,21,,,153,,,3,4,1,37,5,103,15,2,1,125,69,56,1,,1,,,2,6,6,,11
IOWA,Metropolitan Counties,Linn,,126,18,88,20,1,1,,,2,21,9,,,12,,,,6,,120,21,135,,,61,7,19,20,1,14,135,,,3,12,1,29,10,80,25,,14,220,100,120,,,,,,1,38,38,,5
IOWA,Metropolitan Counties,Mills,,42,12,25,5,,,,,1,7,4,,,3,,,,4,,99,3,78,,,14,3,1,7,1,2,173,,,,45,,27,7,94,35,4,7,84,46,38,,,,,,1,,,,5
IOWA,Metropolitan Counties,Plymouth,,28,3,20,5,2,2,,,,5,3,,,2,,,,1,,11,2,16,1,,3,1,1,1,,,43,1,,,7,1,2,,32,4,,1,56,30,26,,,,,,,,,,3
IOWA,Metropolitan Counties,Polk,,488,58,285,145,,,,,2,14,10,,,4,6,5,1,5,,227,59,335,,,91,43,26,22,,,479,,,37,81,2,126,64,169,70,7,17,412,243,169,1,1,,,,6,,,,23
IOWA,Metropolitan Counties,Pottawattamie,,136,33,91,12,,,,,1,18,7,,,11,,,,9,1,142,6,118,,,46,7,17,20,,2,312,1,1,21,27,,41,10,211,54,1,1,152,87,65,,,,,,1,,,,8
IOWA,Metropolitan Counties,Scott,,89,36,41,12,,,,,1,6,1,1,1,3,,,,1,,43,4,75,2,1,17,6,5,4,,2,114,,,2,30,,27,9,46,13,,3,228,127,101,,,,,,,,,,9
IOWA,Metropolitan Counties,Story,,51,9,41,1,,,,,4,13,4,1,2,6,,,,1,,59,1,53,,,16,4,3,8,,1,81,,,1,6,,17,6,51,12,1,,94,56,38,,,,,,,,,,3
IOWA,Metropolitan Counties,Warren,,103,24,38,41,,,,,3,9,7,1,,1,,,,4,,70,6,66,,,35,9,4,21,,1,118,,,3,36,1,20,5,53,24,,8,42,25,17,,,,,,2,,,,4
IOWA,Metropolitan Counties,Washington,,33,18,15,,,,,,,11,8,2,,1,1,1,,1,,35,1,32,,,2,1,,1,,,77,,,1,57,,8,1,10,5,,,100,61,39,,,,,,,,,,3
IOWA,Metropolitan Counties,Woodbury,,61,14,46,1,,,,,1,8,,,,8,2,1,1,1,,61,1,23,,,7,2,3,2,,,68,,,2,18,,5,3,40,11,,,56,46,10,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Adair,,9,5,1,3,,,,,,,,,,,,,,1,,27,,21,,,2,,2,,,,56,,1,,10,,7,1,37,7,,,,,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Adams,,39,14,21,4,,,,,1,2,1,,1,,,,,,,11,,15,,,4,,4,,,,36,,1,1,13,,1,3,17,2,,,19,11,8,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Allamakee,,2,,2,,,,,,,,,,,,,,,1,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Appanoose,,72,11,40,21,,,,,1,4,2,,,2,1,,1,6,,55,3,36,,,5,,2,3,,,65,,,5,13,,6,6,35,14,,1,21,10,11,,,,,,,,,,2
IOWA,Nonmetropolitan Counties,Boone,,6,2,3,1,,,,,,,,,,,,,,,,7,,5,8,,,,,,,,9,,,,6,,2,,1,2,1,,25,14,11,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Butler,,10,,10,,,,,,,,,,,,,,,,,8,,5,,,,,,,,,3,,,,,1,,,2,3,,1,15,7,8,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Calhoun,,15,3,11,1,,,,,,,,,,,1,1,,,,6,,9,,,1,1,,,,,11,,,,3,,1,1,6,1,,,4,2,2,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Cass,,26,9,13,4,,,,,,1,,,,1,,,,,,25,,38,,,3,,,3,,,45,,,,8,,11,,26,5,,,25,16,9,,,,,,,,,,5
IOWA,Nonmetropolitan Counties,Cedar,,46,14,32,,,,,,,4,2,,1,1,1,1,,1,,5,2,52,,,4,,3,,,1,126,,,2,69,1,12,3,39,8,,2,61,38,23,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Cerro Gordo,,51,2,41,8,,,,,,,,,,,,,,,,47,2,26,,,7,1,4,2,,,66,,,1,5,1,8,5,46,7,,,127,78,49,,,,,,,,,,2
IOWA,Nonmetropolitan Counties,Cherokee,,13,4,8,1,,,,,,1,,,,1,,,,,,8,1,34,,,2,1,1,,,,37,,,,12,,2,,23,2,,1,1,1,,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Clarke,,16,7,8,1,,,,,,,,,,,,,,,,16,,27,,,3,,,3,,,26,,,,8,,4,,14,3,,,10,5,5,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Clay,,25,3,17,5,,,,,,1,1,,,,1,,1,,,11,1,14,,,4,2,,2,,,8,,,,1,,,,7,1,,1,59,31,28,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Clayton,,36,13,18,5,,,,,1,9,1,2,5,1,,,,2,,18,3,19,,,1,,,1,,,39,,,1,19,,,,19,3,,1,63,47,16,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Clinton,,78,22,44,12,,,,,,4,1,,3,,,,,3,,54,2,68,,,12,2,3,5,,2,56,,,,4,,,1,51,1,,,36,21,15,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Crawford,,6,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Davis,,11,6,5,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,6,,,,1,,,1,4,,,,4,4,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Delaware,,15,8,7,,,,,,,1,1,,,,,,,1,,10,,8,,,,,,,,,4,,,,1,,,,3,1,,,7,7,,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Des Moines,,59,18,35,6,1,,1,,,5,,,1,4,,,,,,57,3,71,,1,16,3,7,6,,,94,,,,12,,28,,54,12,,1,50,28,22,,,,,,1,,,,7
IOWA,Nonmetropolitan Counties,Emmet,,16,1,15,,,,,,,1,,,,1,,,,,,7,,18,,,,,,,,,20,,,,4,,,,16,2,,,9,4,5,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Fayette,,33,11,22,,,,,,,4,2,,,2,,,,8,,16,,32,,,7,,2,4,,1,30,,,1,11,,10,3,5,10,,,25,14,11,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Floyd,,7,3,4,,,,,,,,,,,,1,1,,,,9,,4,,,1,,,1,,,13,,,,4,,3,,6,1,1,,10,5,5,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Hancock,,8,6,2,,,,,,,,,,,,,,,,,16,,6,,,1,1,,,,,12,,,,3,,1,1,7,,,1,9,9,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Hardin,,49,13,28,8,,,,,,4,,,1,3,,,,2,,47,1,73,,,10,6,4,,,,79,,,1,7,,9,3,59,3,,3,33,17,16,,,,,,1,,,,2
IOWA,Nonmetropolitan Counties,Henry,,63,29,33,1,,,,,,6,1,,,5,3,,3,,,28,1,50,,,1,,1,,,,70,,,,25,,8,4,33,15,,2,24,13,11,,,,,,2,,,,8
IOWA,Nonmetropolitan Counties,Howard,,26,2,12,12,,,,,,1,1,,,,,,,3,,29,1,31,,,3,2,1,,,,27,,1,1,,,4,3,18,3,,,14,7,7,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Humboldt,,14,1,11,2,,,,,,,,,,,,,,,,22,,26,1,,1,,1,,,,24,,,,7,,4,3,10,5,,1,,,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Ida,,23,7,16,,,,,,,3,2,,,1,1,,1,1,,39,1,31,,,3,1,1,1,,,51,,,,11,,17,,23,1,,1,4,2,2,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Iowa,,26,10,16,,,,,,,,,,,,,,,,,18,1,35,,,9,2,6,1,,,57,,,,4,,14,2,37,3,,,30,16,14,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Jasper,,54,21,27,6,,,,,1,9,2,,,7,,,,1,1,95,1,24,,,12,3,4,4,1,,83,,,2,12,,10,2,57,15,,,57,28,29,,,,,,1,,,,6
IOWA,Nonmetropolitan Counties,Kossuth,,22,3,17,2,,,,,,,,,,,,,,,,35,1,23,,,,,,,,,22,,,,1,,1,,20,2,,,14,7,7,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Lee,,62,7,53,2,,,,,,1,,,,1,,,,1,,40,5,58,,,25,,12,8,,5,79,,,,24,,18,1,36,16,,,61,56,5,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Louisa,,44,16,28,,,,,,,5,,,,5,8,3,5,1,,35,2,37,,,1,1,,,,,77,1,,2,16,,19,1,38,4,,1,25,18,7,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Lucas,,23,1,22,,,,,,,3,2,,,1,,,,3,,27,1,40,,,4,2,1,1,,,49,,,2,13,,1,2,31,18,,,7,4,3,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Lyon,,65,25,29,11,,,,,,4,3,1,,,1,,1,,,22,3,68,1,,2,,1,1,,,51,,,1,9,,16,1,24,10,,2,24,13,11,,,,,,1,,,,
IOWA,Nonmetropolitan Counties,Marshall,,30,5,25,,,,,,,1,1,,,,,,,,,30,,36,,,2,,2,,,,39,2,,1,13,,1,,22,10,,,41,28,13,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Mitchell,,3,,3,,,,,,,,,,,,,,,,,7,,2,,,1,1,,,,,17,,,,,,1,,16,2,,,4,3,1,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Monona,,6,,6,,,,,,,1,1,,,,,,,,,5,1,7,,,,,,,,,20,,,,10,,4,,6,4,,,4,2,2,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Monroe,,15,2,13,,,,,,,1,1,,,,1,1,,1,,12,3,14,,,1,1,,,,,43,,,,24,,4,,15,4,,,18,9,9,,,,,,,,,,3
IOWA,Nonmetropolitan Counties,Muscatine,,44,22,22,,,,,,,6,6,,,,,,,1,,67,3,33,,,10,2,7,1,,,68,2,,1,23,1,12,3,26,10,2,,34,21,13,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,O'Brien,,35,6,27,2,,,,,1,1,,,1,,,,,1,,38,1,38,,,2,,,2,,,42,1,,3,10,,4,1,23,4,,3,27,16,11,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Osceola,,14,,14,,,,,,,1,,,,1,,,,,,3,,3,,,,,,,,,7,,,,1,,,,6,2,,,17,11,6,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Page,,22,13,9,,,,,,,,,,,,,,,,,18,,26,,,2,1,1,,,,40,,,,12,,4,,24,2,,,5,2,3,,,,,,,,,,4
IOWA,Nonmetropolitan Counties,Palo Alto,,29,8,18,3,,,,,,2,1,,,1,,,,1,,43,1,40,,,4,2,2,,,,36,,,,5,,8,1,22,5,,,27,16,11,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Pocahontas,,50,8,38,4,,,,,2,6,4,,,2,,,,,,24,3,23,,,7,,5,1,,1,50,,1,,20,1,10,1,17,1,,,66,35,31,,,,,,1,,,,3
IOWA,Nonmetropolitan Counties,Sac,,25,6,18,1,,,,,,4,3,1,,,,,,,,22,1,22,,1,3,,1,2,,,28,,,,10,,2,5,11,7,2,,19,11,8,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Shelby,,4,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,2,,,7,6,1,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Sioux,,46,21,24,1,,,,,1,2,2,,,,,,,,,36,7,45,1,,19,1,2,15,,1,63,,,,30,,8,,25,5,,,55,37,18,,,,,,,,,,4
IOWA,Nonmetropolitan Counties,Tama,,56,32,24,,,,,,,7,1,1,,5,,,,17,,41,,26,,,7,3,3,1,,,37,,,1,6,,5,,25,8,,,21,14,7,,,,,,2,,,,1
IOWA,Nonmetropolitan Counties,Taylor,,2,1,1,,,,,,,,,,,,,,,,,3,,9,,,,,,,,,15,,,,3,,2,1,9,,,,,,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Union,,5,3,2,,,,,,1,3,,,2,1,,,,,,18,3,9,,,5,1,2,,,2,16,,,1,5,,4,1,5,2,,,2,2,,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Van Buren,,44,15,26,3,,,,,,1,,,,1,,,,1,,22,2,22,,,2,2,,,,,32,,,1,4,,1,,26,6,,,13,11,2,,,,,,,,,,1
IOWA,Nonmetropolitan Counties,Wapello,,58,9,45,4,1,1,,,,2,,,,2,,,,2,,60,,39,,,4,,1,2,1,,59,,,,6,,8,1,44,21,,,23,17,6,,,,,,,,,,7
IOWA,Nonmetropolitan Counties,Wayne,,12,1,11,,,,,,,,,,,,,,,,,6,3,13,,,,,,,,,10,,,,,,1,,9,,,,7,4,3,,,,,,,,,,2
IOWA,Nonmetropolitan Counties,Webster,,56,24,27,5,,,,,,,,,,,,,,,,47,6,99,,,14,,12,2,,,117,,,1,15,,6,3,92,9,,1,38,24,14,,,,,,9,,,,3
IOWA,Nonmetropolitan Counties,Winnebago,,2,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,,,3,3,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Winneshiek,,6,,6,,,,,,,,,,,,,,,,,6,,5,,,1,,1,,,,12,,,,4,,4,1,3,,,,,,,,,,,,,,,,
IOWA,Nonmetropolitan Counties,Worth,,24,8,16,,,,,,,1,1,,,,2,1,1,1,,43,3,30,,,6,1,3,1,,1,55,,,,14,1,12,2,26,6,,,23,11,12,,,,,,,1,1,,
IOWA,Nonmetropolitan Counties,Wright,,7,,7,,,,,,,,,,,,,,,,,9,1,9,,,1,,,1,,,25,1,,,1,,1,,22,2,,,12,12,,,,,,,,,,,2
KANSAS,Cities,Abilene,6874,103,8,81,14,,,,,3,5,4,1,,,1,,1,,,31,14,114,1,,22,8,12,1,1,,179,,,13,43,1,53,8,61,5,1,1,34,17,17,,,,,,2,,,,
KANSAS,Cities,Altamont,1081,8,1,6,1,,,,,,,,,,,,,,,,5,1,5,,,3,2,1,,,,7,,,,2,,4,,1,,,,11,6,5,,,,,,,,,,1
KANSAS,Cities,Andover,11839,114,9,90,15,,,,,1,12,4,3,,5,,,,1,,14,20,100,,,82,36,12,34,,,255,2,2,18,84,1,54,15,79,13,1,1,71,39,32,,,,,,1,,,,2
KANSAS,Cities,Anthony,2265,25,4,16,5,,,,,1,2,1,1,,,,,,,,9,2,13,1,,3,2,,1,,,40,,,5,5,,16,2,12,3,,,6,3,3,,,,,,,,,,1
KANSAS,Cities,Arkansas City,12464,333,61,235,37,,,,,16,21,7,3,,11,4,,4,4,,127,40,272,4,3,83,56,18,9,,,385,,,63,70,1,79,34,138,24,2,3,217,109,108,,,,,,2,1,1,,2
KANSAS,Cities,Arma,1492,26,,24,2,1,1,,,1,1,,,,1,,,,1,,4,2,16,,,2,2,,,,,17,,,,1,3,2,1,10,1,,,5,3,2,,,,,,,,,,
KANSAS,Cities,Assaria,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,Cities,Atchison,10999,208,41,139,28,,,,,1,15,2,1,,12,,,,3,,91,13,116,,,21,11,3,7,,,333,,3,41,75,,122,10,82,19,6,,78,67,11,,,,,,1,,,,4
KANSAS,Cities,Augusta,9312,194,22,145,27,,,,,,20,2,3,,15,4,,4,1,,61,37,175,2,,90,38,47,5,,,257,,,27,56,1,29,36,108,9,1,6,74,34,40,,,,,,,1,,1,7
KANSAS,Cities,Baldwin City,4592,27,1,23,3,,,,,1,3,1,,,2,,,,2,,18,4,41,1,,6,1,1,4,,,69,,,8,15,,27,1,18,1,,,12,7,5,,,,,,,,,,
KANSAS,Cities,Basehor,4716,23,,19,4,,,,,,,,,,,,,,2,,5,12,19,,,17,10,3,4,,,31,,,,6,,8,5,12,2,1,2,24,16,8,,,,,,,,,,3
KANSAS,Cities,Baxter Springs,4216,55,2,46,7,,,,,1,,,,,,,,,1,,32,,50,1,,6,1,3,2,,,77,,,22,14,,15,10,16,3,,1,21,11,10,,,,,,,,,,2
KANSAS,Cities,Bel Aire,6841,11,2,8,1,,,,,,1,1,,,,,,,1,,18,,21,1,,3,1,2,,,,27,,,1,5,,8,4,9,3,,1,11,6,5,,,,,,,,,,
KANSAS,Cities,Belle Plaine,1665,21,5,14,2,,,,,2,2,,1,,1,,,,,,8,1,14,,,2,,2,,,,4,,,,3,,,,1,1,,2,7,3,4,,,,,,,,,,
KANSAS,Cities,Beloit,3808,78,11,63,4,,,,,2,5,1,,,4,,,,1,,13,6,35,,,22,2,20,,,,34,,,3,11,,6,2,12,2,,,37,21,16,,,,,,,,,,
KANSAS,Cities,Benton,883,4,,4,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,5,,,,3,,,1,1,1,,,,,,,,,,,,,,,
KANSAS,Cities,Bonner Springs,7384,124,15,80,29,,,,,1,2,2,,,,,,,5,,31,11,165,5,,65,18,39,8,,,219,2,,66,37,1,42,21,50,26,3,5,68,46,22,,,,,,1,1,1,,7
KANSAS,Cities,Buhler,1335,11,,6,5,,,,,,,,,,,,,,,,,,6,,,,,,,,,11,,,,7,,1,2,1,2,,,4,2,2,,,,,,,,,,
KANSAS,Cities,Burden,537,5,,4,1,,,,,,1,,,,1,,,,,,3,,10,,,,,,,,,4,,,,,,1,1,2,2,,,2,1,1,,,,,,,,,,
KANSAS,Cities,Burlington,2668,31,7,18,6,,,,,2,1,,,,1,,,,,,3,4,15,,,10,4,3,3,,,26,,,2,5,1,9,1,8,2,,,24,13,11,,,,,,,,,,1
KANSAS,Cities,Chanute,9131,216,19,155,42,,,,,4,22,6,1,,15,2,,2,5,,84,32,192,,,35,16,13,6,,,275,2,1,7,42,1,89,9,124,10,4,6,51,28,23,,,,,,,,,,7
KANSAS,Cities,Chapman,1401,10,,7,3,,,,,,,,,,,,,,,,3,,4,,,2,1,,1,,,9,,,,2,,2,1,4,1,,,2,1,1,,,,,,,,,,
KANSAS,Cities,Chase,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANSAS,Cities,Cheney,2117,15,4,9,2,,,,,,,,,,,,,,,,6,,9,,,2,,2,,,,11,,,,1,,1,5,4,,,,1,,1,,,,,,,,,,
KANSAS,Cities,Chetopa,1126,19,1,18,,,,,,1,,,,,,,,,1,,7,,8,,,,,,,,,6,,,,2,,2,1,1,2,1,2,25,13,12,,,,,,,,,,2
KANSAS,Cities,Clay Center,4376,54,6,39,9,,,,,2,8,2,1,,5,,,,2,,39,21,48,3,,27,22,2,3,,,83,,,9,18,1,18,5,32,4,,,28,14,14,,,,,,,,,,3
KANSAS,Cities,Clearwater,2509,16,3,12,1,,,,,,1,,,,1,,,,1,,15,,16,,,3,1,2,,,,26,,,1,7,,5,1,12,1,,1,18,8,10,,,,,,,,,,1
KANSAS,Cities,Coffeyville,10189,426,90,256,80,1,,,1,9,18,7,,,11,1,,1,6,,133,86,265,10,,132,100,24,8,,,389,,1,81,111,2,62,32,100,15,12,3,183,93,90,,,,,,,1,1,,28
KANSAS,Cities,Colby,5466,105,7,77,21,,,,,4,9,3,3,,3,1,,1,,,24,5,83,6,,28,12,9,7,,,99,,,13,24,,24,6,32,11,2,2,29,15,14,,,,,,,,,,1
KANSAS,Cities,Columbus,3295,63,15,43,5,1,,1,,1,5,,,,5,,,,,,23,5,27,2,,7,4,2,1,,,48,,,1,15,,10,3,19,2,,2,15,10,5,,,,,,,,,,
KANSAS,Cities,Concordia,5329,164,23,112,29,,,,,9,13,7,4,,2,3,2,1,2,,57,2,108,7,1,34,16,15,3,,,166,,,21,63,,18,8,56,6,,,25,12,13,,,,,,5,,,,
KANSAS,Cities,Council Grove,2180,3,1,1,1,,,,,1,1,1,,,,,,,,,8,7,16,,,17,3,11,3,,,19,,,1,5,,7,2,4,1,,,8,4,4,,,,,,,,,,1
KANSAS,Cities,Derby,22393,223,19,164,40,,,,,1,14,3,2,,9,4,,4,4,,71,56,254,19,,249,93,90,66,,,400,,,125,85,1,72,29,88,25,3,,56,27,29,,,,,,,2,1,1,4
KANSAS,Cities,Dodge City,28064,532,64,424,44,2,2,,,23,47,21,8,,18,2,,2,4,,244,113,635,19,,353,137,120,96,,,777,,,261,94,1,168,102,151,36,16,5,360,194,166,,,,,,2,1,,1,22
KANSAS,Cities,Edwardsville,4382,73,9,57,7,1,1,,,1,3,2,,,1,,,,1,,25,,68,,,9,1,4,4,,,63,,,2,10,,10,10,31,9,3,4,76,36,40,,,,,,,,,,2
KANSAS,Cities,El Dorado,13074,299,73,201,25,,,,,7,21,7,4,,10,5,,5,2,,128,43,186,28,,98,47,40,11,,,303,,,79,63,3,69,23,66,29,3,3,139,77,62,,,,,,1,,,,19
KANSAS,Cities,Ellinwood,2154,11,1,8,2,,,,,,3,3,,,,,,,1,,16,3,23,,,10,3,3,4,,,35,,,,2,,3,2,28,3,1,,4,3,1,,,,,,,,,,
KANSAS,Cities,Ellsworth,3129,19,2,9,8,,,,,1,3,1,1,,1,,,,,,20,12,22,,,15,12,2,1,,,34,,,2,9,,3,9,11,2,,,3,1,2,,,,,,,,,,
KANSAS,Cities,Elwood,1229,25,9,11,5,,,,,,2,1,1,,,,,,,,12,3,16,,,11,5,5,1,,,15,,,2,2,,2,6,3,5,,1,39,20,19,,,,,,,,,,2
